accession,bits_score,start,end,description,species,tax_id
CM000671.2,398.7,33264696,33264327,"Homo sapiens chromosome 9, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM009965.1,378.4,48693443,48693812,"CM009965.1 Theropithecus gelada isolate Dixy chromosome 15, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM018192.2,378.4,61622323,61621954,"CM018192.2 Papio anubis isolate 15944 chromosome 13, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
KQ009938.1,376,17785980,17786349,"KQ009938.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold14, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM009271.2,375.7,7214905,7215292,"CM009271.2 Pongo abelii isolate Susie chromosome 9, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
FR853102.2,375.2,16204189,16204576,"Gorilla gorilla gorilla genomic chromosome, chr9, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM000323.3,373.3,33988709,33988322,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 9, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM001654.1,373.3,84313676,84314048,"Nomascus leucogenys chromosome 8, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
KQ004907.1,370.7,4291831,4291462,"KQ004907.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold127, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
CM014350.1,364.3,50627715,50628102,"CM014350.1 Macaca mulatta isolate AG07107 chromosome 15, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM026978.1,363.6,56081046,56080677,"CM026978.1 Rattus norvegicus strain BN/NHsdMcwi chromosome 5, whole genome shotgun sequence",Rattus norvegicus (Norway rat),10116
CM019253.1,362.5,46833050,46833419,"CM019253.1 Piliocolobus tephrosceles isolate RC106 chromosome 14, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
CM021953.1,360.9,48563310,48563681,"CM021953.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 15, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
CM001953.2,350,47006223,47006592,"Chlorocebus sabaeus isolate 1994-021 chromosome 12, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
NW_020356509.1,347.5,1066662,1067028,"NW_020356509.1 Vulpes vulpes strain TameXAggressive cross unplaced genomic scaffold, VulVul2.2 scaffold75, whole genome shotgun sequence",Vulpes vulpes (red fox),9627
CM025110.1,346.3,51303469,51303103,"CM025110.1 Canis lupus familiaris isolate SID07034 breed Labrador retriever chromosome 11, whole genome shotgun sequence",Canis lupus familiaris (dog),9615
CM025467.1,346.3,49783553,49783187,"CM025467.1 Canis lupus dingo isolate Sandy chromosome 11, whole genome shotgun sequence",Canis lupus dingo (dingo),286419
JACASF010000014.1,342.7,35987127,35987496,"JACASF010000014.1 Molossus molossus isolate mMolMol1 scaffold_m16_p_14, whole genome shotgun sequence",Molossus molossus (Pallas's mastiff bat),27622
NW_020337930.1,339.5,35338281,35338647,"NW_020337930.1 Puma concolor isolate SC36_Marlon unplaced genomic scaffold, PumCon1.0 scaffold_1008, whole genome shotgun sequence",Puma concolor (puma),9696
MPIZ01000453.1,338.8,1110933,1111302,"MPIZ01000453.1 Prolemur simus strain KIAN8.4 scaffold453, whole genome shotgun sequence",Prolemur simus (greater bamboo lemur),1328070
CM014237.1,337,50362398,50362029,"CM014237.1 Rhinolophus ferrumequinum isolate MPI-CBG mRhiFer1 chromosome 12, whole genome shotgun sequence",Rhinolophus ferrumequinum (greater horseshoe bat),59479
CM018473.1,336.3,37374696,37375062,"CM018473.1 Panthera leo isolate Brooke chromosome E1, whole genome shotgun sequence",Panthera leo (lion),9689
NW_004450270.1,334.3,1102000,1101634,"NW_004450270.1 Odobenus rosmarus divergens isolate Ivan unplaced genomic scaffold, Oros_1.0 Scaffold7, whole genome shotgun sequence",Odobenus rosmarus divergens (Pacific walrus),9708
CM016696.1,333.6,10564822,10564453,"CM016696.1 Bos grunniens isolate yakHY00 ecotype maiwa chromosome 7, whole genome shotgun sequence",Bos grunniens (domestic yak),30521
JACASE010000003.1,333,31619881,31620250,"JACASE010000003.1 Rousettus aegyptiacus isolate mRouAeg1 scaffold_m13_p_3, whole genome shotgun sequence",Rousettus aegyptiacus (Egyptian rousette),9407
CM008175.2,332.7,75032810,75032441,"CM008175.2 Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 8, whole genome shotgun sequence",Bos taurus (cattle),9913
CM011781.1,332.7,74615963,74615594,"CM011781.1 Bos indicus x Bos taurus breed Angus x Brahman F1 hybrid chromosome 8, whole genome shotgun sequence",Bos indicus x Bos taurus (hybrid cattle),30522
CM021915.1,332,137487756,137487390,"CM021915.1 Callithrix jacchus isolate mCalJac1 chromosome 1, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
