accession,bits_score,start,end,description,species,tax_id
CM000670.2,389.4,127736244,127736545,"Homo sapiens chromosome 8, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM000322.4,386.3,130141841,130142142,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 8, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM003391.1,386.3,127131687,127131988,"CM003391.1 Pan paniscus isolate Ulindi chromosome 8, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
FR853101.2,380.9,129151049,129151350,"Gorilla gorilla gorilla genomic chromosome, chr8, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM001662.1,360.8,82733975,82734279,"Nomascus leucogenys chromosome 16, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
KN980162.1,359.7,17666756,17666454,"KN980162.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold17, whole genome shotgun sequence",Colobus angolensis palliatus,336983
MCGX01000410.1,359.4,3132607,3132305,"MCGX01000410.1 Rhinopithecus bieti isolate Rb0 scaffold_54, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
CM009270.2,358,126330060,126330362,"CM009270.2 Pongo abelii isolate Susie chromosome 8, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
KN298037.1,356.8,269601,269903,"KN298037.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG039254, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
CM009958.1,352.9,130037080,130037382,"CM009958.1 Theropithecus gelada isolate Dixy chromosome 8, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM018187.2,352.9,123035046,123035348,"CM018187.2 Papio anubis isolate 15944 chromosome 8, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
CM001948.2,352.4,122283175,122283477,"Chlorocebus sabaeus isolate 1994-021 chromosome 8, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
KN973840.1,350,383023,382721,"KN973840.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold177, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
KQ009788.1,343.7,11708982,11708680,"KQ009788.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold126, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM019246.1,341.8,131306569,131306879,"CM019246.1 Piliocolobus tephrosceles isolate RC106 chromosome 7, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
CM014343.1,340.5,128099426,128099728,"CM014343.1 Macaca mulatta isolate AG07107 chromosome 8, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
KQ005503.1,340.5,2002917,2003219,"KQ005503.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold182, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
CM021946.1,336.6,126700550,126700852,"CM021946.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 8, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
KV389439.1,333.4,8610604,8610297,"KV389439.1 Cebus capucinus imitator isolate Cc_AM_T3 unplaced genomic scaffold Scaffold13, whole genome shotgun sequence",Cebus imitator (Panamanian white-faced capuchin),2715852
KZ201537.1,332.5,1154339,1154036,"KZ201537.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold257, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
CM021930.1,331.9,67890886,67890583,"CM021930.1 Callithrix jacchus isolate mCalJac1 chromosome 16, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
NW_022436943.1,324.5,51032121,51032424,"NW_022436943.1 Sapajus apella isolate SASKATOON/1434 unplaced genomic scaffold, GSC_monkey_1.0 scaffold3, whole genome shotgun sequence",Cebus apella (Tufted capuchin),9515
JH378163.1,295.1,10536501,10536208,"JH378163.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00059, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
KQ021892.1,264.5,2378482,2378164,"KQ021892.1 Propithecus coquereli isolate 6110/MARCELLA unplaced genomic scaffold Scaffold234, whole genome shotgun sequence",Propithecus coquereli (Coquerel's sifaka),379532
CM007669.1,239.7,75320188,75320504,"CM007669.1 Microcebus murinus isolate mixed chromosome 9, whole genome shotgun sequence",Microcebus murinus (gray mouse lemur),30608
MPIZ01001246.1,231,2894540,2894224,"MPIZ01001246.1 Prolemur simus strain KIAN8.4 scaffold1246, whole genome shotgun sequence",Prolemur simus (greater bamboo lemur),1328070
GL873523.1,209.9,3374614,3374297,"Otolemur garnettii unplaced genomic scaffold scaffold00004, whole genome shotgun sequence.",Otolemur garnettii (small-eared galago),30611
NW_017872684.1,200.1,782179,782496,"NW_017872684.1 Castor canadensis isolate Ward unplaced genomic scaffold, C.can genome v1.0 scaffold_3357, whole genome shotgun sequence",Castor canadensis (American beaver),51338
KB320973.1,199.9,414671,414987,"KB320973.1 Tupaia chinensis unplaced genomic scaffold Scaffold000513_1, whole genome shotgun sequence",Tupaia chinensis (Chinese tree shrew),246437
LR738611.1,197.3,199234055,199234358,"LR738611.1 Sciurus vulgaris genome assembly, chromosome: 1",Sciurus vulgaris (Eurasian red squirrel),55149
JAATJV010433784.1,196.9,905956,905653,"JAATJV010433784.1 Sciurus carolinensis isolate SUZIE scaffold8103, whole genome shotgun sequence",Sciurus carolinensis (gray squirrel),30640
CZRN02000108.1,194.2,25177867,25178166,"CZRN02000108.1 Marmota marmota marmota genome assembly, contig: chr15_part1, whole genome shotgun sequence",Marmota marmota marmota (Alpine marmot),9994
CM027701.2,189.6,51080423,51080095,"CM027701.2 Equus asinus breed Dezhou chromosome 12, whole genome shotgun sequence",Equus asinus (ass),9793
CABDUW010000210.1,188.5,347534,347833,"CABDUW010000210.1 Marmota monax genome assembly, contig: monax5_s00210, whole genome shotgun sequence",Marmota monax (woodchuck),9995
CM009156.1,187.9,71418718,71419046,"CM009156.1 Equus caballus isolate Twilight breed thoroughbred chromosome 9, whole genome shotgun sequence",Equus caballus (horse),9796
QVIC01000013.1,187.8,9090260,9089961,"QVIC01000013.1 Urocitellus parryii isolate AGS 11-09-20 scaffold_12, whole genome shotgun sequence",Spermophilus parryii (Arctic ground squirrel),9999
JH393280.1,187.2,20485743,20485444,"JH393280.1 Spermophilus tridecemlineatus unplaced genomic scaffold scaffold00002, whole genome shotgun sequence",Spermophilus tridecemlineatus (thirteen-lined ground squirrel),43179
CM016651.2,185.7,30833664,30833986,"CM016651.2 Camelus dromedarius isolate Drom800 breed African chromosome 25, whole genome shotgun sequence",Camelus dromedarius (Arabian camel),9838
CM000815.5,184.7,12460148,12459822,"Sus scrofa isolate TJ Tabasco breed Duroc chromosome 4, whole genome shotgun sequence.",Sus scrofa (pig),9823
NW_011544900.1,184.6,9734270,9734592,"NW_011544900.1 Camelus bactrianus breed Alxa unplaced genomic scaffold, Ca_bactrianus_MBC_1.0 scaffold8, whole genome shotgun sequence",Camelus bactrianus (Bactrian camel),9837
JACDTQ010002883.1,182.2,35507731,35508062,"JACDTQ010002883.1 Diceros bicornis minor isolate SBR-YM ScS9zPn_2883, whole genome shotgun sequence",Diceros bicornis minor,77932
PVHT020000230.1,181.9,22806319,22806648,"PVHT020000230.1 Catagonus wagneri isolate BS18 Sc2sB16_197;HRSCAF=33265_1, whole genome shotgun sequence",Catagonus wagneri (Chacoan peccary),51154
NW_017731428.1,178.2,1732611,1732276,"NW_017731428.1 Hipposideros armiger isolate ML-2016 unplaced genomic scaffold, ASM189008v1, whole genome shotgun sequence",Hipposideros armiger,186990
KZ294321.1,175.2,1447526,1447825,"KZ294321.1 Spermophilus dauricus unplaced genomic scaffold scaffold1746, whole genome shotgun sequence",Spermophilus dauricus (Daurian ground squirrel),99837
JACASF010000016.1,173.8,65705077,65705389,"JACASF010000016.1 Molossus molossus isolate mMolMol1 scaffold_m16_p_16, whole genome shotgun sequence",Molossus molossus (Pallas's mastiff bat),27622
CM014239.1,169.1,63661177,63661510,"CM014239.1 Rhinolophus ferrumequinum isolate MPI-CBG mRhiFer1 chromosome 14, whole genome shotgun sequence",Rhinolophus ferrumequinum (greater horseshoe bat),59479
CM026980.1,165,93593882,93594192,"CM026980.1 Rattus norvegicus strain BN/NHsdMcwi chromosome 7, whole genome shotgun sequence",Rattus norvegicus (Norway rat),10116
NW_021964206.1,164.3,1950083,1950406,"NW_021964206.1 Vicugna pacos isolate Carlotta (AHFN-0088) chromosome 25 unlocalized genomic scaffold, VicPac3.1 ScfyRBE_1;HRSCAF=2, whole genome shotgun sequence",Vicugna pacos (alpaca),30538
JH721921.1,161,2714181,2714474,"JH721921.1 Chinchilla lanigera unplaced genomic scaffold scaffold00060, whole genome shotgun sequence",Chinchilla lanigera,34839
JACASE010000015.1,158.3,53134326,53134668,"JACASE010000015.1 Rousettus aegyptiacus isolate mRouAeg1 scaffold_m13_p_15, whole genome shotgun sequence",Rousettus aegyptiacus (Egyptian rousette),9407
JAATJU010022800.1,155.6,4030812,4030502,"JAATJU010022800.1 Microtus ochrogaster isolate LTLLF scaffold36, whole genome shotgun sequence",Microtus ochrogaster (prairie vole),79684
LZNR01002078.1,154.4,371381,371054,"LZNR01002078.1 Ursus americanus isolate MABB319796 Contig2081, whole genome shotgun sequence",Ursus americanus (American black bear),9643
NW_004524638.1,154.2,4537406,4537114,"NW_004524638.1 Octodon degus isolate 3935 unplaced genomic scaffold, OctDeg1.0 scaffold00062, whole genome shotgun sequence",Octodon degus (degu),10160
CM022827.1,153.9,90999873,91000200,"CM022827.1 Ailuropoda melanoleuca isolate Jingjing chromosome 9, whole genome shotgun sequence",Ailuropoda melanoleuca (giant panda),9646
JABWUV010000016.1,153.7,5735920,5735602,"JABWUV010000016.1 Myotis myotis isolate mMyoMyo1 scaffold_m19_p_16, whole genome shotgun sequence",Myotis myotis,51298
