accession,bits_score,start,end,description,species,tax_id
CM000676.2,294.8,61695528,61695807,"Homo sapiens chromosome 14, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM009276.2,292.1,43086587,43086870,"CM009276.2 Pongo abelii isolate Susie chromosome 14, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM003397.1,290.4,60552545,60552823,"CM003397.1 Pan paniscus isolate Ulindi chromosome 14, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
CM000328.3,289.4,45993364,45993642,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 14, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
FR853085.2,286.5,45016673,45016951,"Gorilla gorilla gorilla genomic chromosome, chr14, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM001646.1,285.9,93832397,93832680,"Nomascus leucogenys chromosome 1a, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM018186.2,285.6,44762016,44761733,"CM018186.2 Papio anubis isolate 15944 chromosome 7, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
CM021945.1,283.1,124429613,124429896,"CM021945.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 7, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
KQ008983.1,282.8,13212737,13213020,"KQ008983.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold53, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
CM001965.2,282,38873950,38874233,"Chlorocebus sabaeus isolate 1994-021 chromosome 24, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
CM014342.1,282,123769180,123769463,"CM014342.1 Macaca mulatta isolate AG07107 chromosome 7, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
KQ012950.1,282,12010321,12010604,"KQ012950.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold96, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
