accession,bits_score,start,end,description,species,tax_id
CM000663.2,221.3,39902015,39901795,"Homo sapiens chromosome 1, GRCh38 reference primary assembly.",Homo sapiens (human),9606
FR853080.2,216.8,40268211,40267991,"Gorilla gorilla gorilla genomic chromosome, chr1, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM000314.3,216.6,39306769,39306550,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 1, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
KQ010561.1,210.8,7160505,7160725,"KQ010561.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold2, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM014336.1,210.3,184679849,184680069,"CM014336.1 Macaca mulatta isolate AG07107 chromosome 1, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM018180.1,210.1,38117493,38117273,"CM018180.1 Papio anubis isolate 15944 chromosome 1, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
NW_017871125.1,208.8,166663,166443,"NW_017871125.1 Castor canadensis isolate Ward unplaced genomic scaffold, C.can genome v1.0 scaffold_1798, whole genome shotgun sequence",Castor canadensis (American beaver),51338
CM009950.1,208.1,67602737,67602517,"CM009950.1 Theropithecus gelada isolate Dixy chromosome 1, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM019240.1,208.1,182517526,182517746,"CM019240.1 Piliocolobus tephrosceles isolate RC106 chromosome 1, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
MPIZ01000632.1,207.4,111814,111594,"MPIZ01000632.1 Prolemur simus strain KIAN8.4 scaffold632, whole genome shotgun sequence",Prolemur simus (greater bamboo lemur),1328070
NW_020834739.1,206.3,70677162,70677382,"NW_020834739.1 Acinonyx jubatus isolate Rico unplaced genomic scaffold, Aci_jub_2 Primary Assembly Aci_jub_2_ph1_scaffold13, whole genome shotgun sequence",Acinonyx jubatus (cheetah),32536
