accession,bits_score,start,end,description,species,tax_id
X00871.1,539.6,252,712,X00871.1 Foot and mouth disease virus (FMDV-O1K) RNA for polyprotein precursor,Foot-and-mouth disease virus (strain O1),73482
AF308157.1,521.2,595,1057,"Foot-and-mouth disease virus, complete genome.",Foot-and-mouth disease virus O/swine/1997,649897
AJ005695.1,195.4,232,698,Human parechovirus 2 complete genome,Human parechovirus 2,39085
M81861.1,156.2,374,830,"Encephalomyocarditis virus polyprotein, complete cds.",Encephalomyocarditis virus strain Rueckert,650129
KP233897.1,152.2,290,746,"KP233897.1 Rabovirus A1 isolate Berlin/Jan2011/0572, complete genome",rabovirus A1,2773293
LSMT01000209.1,151.4,284514,284971,"LSMT01000209.1 Stylophora pistillata isolate CSM Monaco Spis.scaffold209, whole genome shotgun sequence",Stylophora pistillata,50429
KJ158169.1,138.4,353,826,"Rosavirus 2 strain GA7403, complete genome.",Rosavirus A2 isolate Human/Gambia/GA7403/2008,1554474
HM153767.3,132.7,262,711,"Ovine hungarovirus OHUV1/2009/HUN, complete genome.",Ovine hungarovirus OHUV1/2009/HUN,1168173
KF958461.1,121.3,204,652,"Mosavirus A2 strain SZAL6-MoV/2011/HUN, complete genome.",Mosavirus A2 isolate Coracias garrulus/Hungary/SZAL6-MoV/2011,1554481
FJ438902.1,118.3,601,1159,"Cosavirus A strain HCoSV-A1 polyprotein gene, complete cds.",Cosavirus A isolate Human/Pakistan/0553/-,1554483
JQ814851.1,117.5,947,1406,"Miniopterus schreibersii picornavirus 1, complete genome.",Miniopterus schreibersii picornavirus 1,1195365
KC614703.1,61.3,128,589,"Turkey avisivirus isolate USA-IN1, complete genome.",Avisivirus A isolate Turkey/USA/USA-IN1/2010,1554484
