accession,bits_score,start,end,description,species,tax_id
GL000250.2,257.4,3148163,3148382,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.",Homo sapiens (human),9606
CM000668.2,257.4,31815541,31815760,"Homo sapiens chromosome 6, GRCh38 reference primary assembly.",Homo sapiens (human),9606
GL000252.2,257.4,3063320,3063539,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_3.",Homo sapiens (human),9606
GL000251.2,256.9,3292792,3293011,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_2.",Homo sapiens (human),9606
GL000255.2,256.9,3071369,3071588,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.",Homo sapiens (human),9606
CM000320.3,247.2,31985448,31985231,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 6, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM000320.3,246.9,31974176,31974395,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 6, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM003389.1,245.8,32363588,32363807,"CM003389.1 Pan paniscus isolate Ulindi chromosome 6, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
CM000668.2,242.5,31827737,31827954,"Homo sapiens chromosome 6, GRCh38 reference primary assembly.",Homo sapiens (human),9606
GL000250.2,242.5,3160362,3160579,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.",Homo sapiens (human),9606
GL000251.2,242.5,3304990,3305207,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_2.",Homo sapiens (human),9606
GL000252.2,242.5,3075516,3075733,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_3.",Homo sapiens (human),9606
GL000255.2,242.5,3083569,3083786,"Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.",Homo sapiens (human),9606
FR853099.2,240.3,32433633,32433850,"Gorilla gorilla gorilla genomic chromosome, chr6, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
FR853099.2,239.1,32420433,32420650,"Gorilla gorilla gorilla genomic chromosome, chr6, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM009268.2,235.7,32107690,32107909,"CM009268.2 Pongo abelii isolate Susie chromosome 6, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM009268.2,234.4,32119916,32120133,"CM009268.2 Pongo abelii isolate Susie chromosome 6, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM021942.1,222.5,138173452,138173236,"CM021942.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 4, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
CM009953.1,221.8,34305319,34305535,"CM009953.1 Theropithecus gelada isolate Dixy chromosome 4, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM014339.1,220.9,137685495,137685279,"CM014339.1 Macaca mulatta isolate AG07107 chromosome 4, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
KN980895.1,220.9,624261,624477,"KN980895.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold236, whole genome shotgun sequence",Colobus angolensis palliatus,336983
KN978558.1,220.8,502448,502664,"KN978558.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold630, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
CM014339.1,220.6,137673539,137673323,"CM014339.1 Macaca mulatta isolate AG07107 chromosome 4, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM021942.1,219.8,138185960,138185744,"CM021942.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 4, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
KQ011984.1,218.1,85204,84987,"KQ011984.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold350, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM001646.1,214.7,76643400,76643620,"Nomascus leucogenys chromosome 1a, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM001958.2,214.3,40194191,40193975,"Chlorocebus sabaeus isolate 1994-021 chromosome 17, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
WAAE01059423.1,214,1,203,"WAAE01059423.1 Nicator chloris voucher USNM:642941 isolate B10K-DU-002-40 C30339062, whole genome shotgun sequence",Nicator chloris,237433
