accession,bits_score,start,end,description,species,tax_id
CM000318.3,530.5,125730569,125731066,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 4, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM000666.2,528.2,122826680,122827177,"Homo sapiens chromosome 4, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM009266.2,512.9,121374287,121374784,"CM009266.2 Pongo abelii isolate Susie chromosome 4, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM001653.1,509,33621896,33621399,"Nomascus leucogenys chromosome 7b, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM018182.1,485.5,66686666,66686169,"CM018182.1 Papio anubis isolate 15944 chromosome 3, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
CM009954.1,485.5,119894301,119894798,"CM009954.1 Theropithecus gelada isolate Dixy chromosome 5, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
KQ010640.1,474.2,4619386,4618889,"KQ010640.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold208, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM014340.1,473.9,120667276,120667773,"CM014340.1 Macaca mulatta isolate AG07107 chromosome 5, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM021943.1,463.5,119878583,119879078,"CM021943.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 5, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
CM001947.1,459,70089796,70090293,"Chlorocebus sabaeus isolate 1994-021 chromosome 7, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
CM019242.1,455.4,66597109,66596603,"CM019242.1 Piliocolobus tephrosceles isolate RC106 chromosome 3, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
KQ004939.1,452.8,14686483,14685986,"KQ004939.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold13, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
CM021917.1,429.1,70890542,70890043,"CM021917.1 Callithrix jacchus isolate mCalJac1 chromosome 3, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
KV389479.1,427.4,139950,139451,"KV389479.1 Cebus capucinus imitator isolate Cc_AM_T3 unplaced genomic scaffold Scaffold53, whole genome shotgun sequence",Cebus imitator (Panamanian white-faced capuchin),2715852
NW_022436967.1,425.5,16215448,16214949,"NW_022436967.1 Sapajus apella isolate SASKATOON/1434 unplaced genomic scaffold, GSC_monkey_1.0 scaffold27, whole genome shotgun sequence",Cebus apella (Tufted capuchin),9515
KZ204805.1,387.6,5838897,5839401,"KZ204805.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold53, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
