accession,bits_score,start,end,description,species,tax_id
CM009179.1,188.5,56147821,56147970,"CM009179.1 Equus caballus isolate Twilight breed thoroughbred chromosome X, whole genome shotgun sequence",Equus caballus (horse),9796
CM027720.2,188.5,21153986,21153837,"CM027720.2 Equus asinus breed Dezhou chromosome X, whole genome shotgun sequence",Equus asinus (ass),9793
KB017479.1,188.1,323230,323081,"Camelus ferus unplaced genomic scaffold scaffold1274, whole genome shotgun sequence.",Camelus ferus (Wild Bactrian camel),419612
NW_011544911.1,188.1,1076761,1076612,"NW_011544911.1 Camelus bactrianus breed Alxa unplaced genomic scaffold, Ca_bactrianus_MBC_1.0 scaffold108, whole genome shotgun sequence",Camelus bactrianus (Bactrian camel),9837
CM000830.5,187.4,57247486,57247634,"CM000830.5 Sus scrofa isolate TJ Tabasco breed Duroc chromosome X, whole genome shotgun sequence",Sus scrofa (pig),9823
GL429771.1,186.6,12954731,12954583,"Myotis lucifugus unplaced genomic scaffold scaffold_4, whole genome shotgun sequence.",Myotis lucifugus (little brown bat),59463
JABWUV010000004.1,186.6,82036725,82036577,"JABWUV010000004.1 Myotis myotis isolate mMyoMyo1 scaffold_m19_p_4, whole genome shotgun sequence",Myotis myotis,51298
KE163806.1,186.6,434599,434747,"KE163806.1 Myotis brandtii unplaced genomic scaffold scaffold481, whole genome shotgun sequence",Myotis brandtii,109478
NW_022038923.1,186.4,389766,389617,"NW_022038923.1 Vicugna pacos isolate Carlotta (AHFN-0088) unplaced genomic scaffold, VicPac3.1 ScfyRBE_77265;HRSCAF=79158, whole genome shotgun sequence",Vicugna pacos (alpaca),30538
NC_050198.1,185.7,95171184,95171036,"NC_050198.1 Phyllostomus discolor isolate MPI-MPIP mPhyDis1 chromosome X, mPhyDis1.pri.v3, whole genome shotgun sequence",Phyllostomus discolor (pale spear-nosed bat),89673
MPIZ01000083.1,185.3,777476,777625,"MPIZ01000083.1 Prolemur simus strain KIAN8.4 scaffold83, whole genome shotgun sequence",Prolemur simus (greater bamboo lemur),1328070
CM009971.1,185.1,82891114,82890964,"CM009971.1 Theropithecus gelada isolate Dixy chromosome X, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
KB110513.1,185.1,185195,185343,"KB110513.1 Myotis davidii unplaced genomic scaffold scaffold1983, whole genome shotgun sequence",Myotis davidii,225400
CM000336.3,185,70652307,70652457,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome X, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM000685.2,185,71223206,71223356,"Homo sapiens chromosome X, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM003406.1,185,70546608,70546758,"CM003406.1 Pan paniscus isolate Ulindi chromosome X, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
CM014356.1,185,68213135,68213285,"CM014356.1 Macaca mulatta isolate AG07107 chromosome X, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM018200.1,185,80440202,80440052,"CM018200.1 Papio anubis isolate 15944 chromosome X, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
CM021937.1,185,65380596,65380746,"CM021937.1 Callithrix jacchus isolate mCalJac1 chromosome X, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
CM021959.1,185,64931571,64931721,"CM021959.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome X, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
