Cluster Num,Representative,Member,RFAM family,Organism,Location,Length
1,"CM000664.2:10445264-10445145 Homo sapiens ODC_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.","CM000664.2:10445264-10445145 Homo sapiens ODC_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.",RF02535,Homo sapiens (human),,120
2,"CM000663.2:38708708-38708962 Homo sapiens IRES_Bip Homo sapiens chromosome 1, GRCh38 reference primary assembly.","CM000663.2:38708708-38708962 Homo sapiens IRES_Bip Homo sapiens chromosome 1, GRCh38 reference primary assembly.",RF00223,Homo sapiens (human),,255
28,mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr19:56698262-56698426-,165
28,mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hSNM1 | chr19:56133365-56133529(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr19:56133365-56133529-,165
28,mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00603.1 | chr19:56133365-56133529(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr19:56133365-56133529-,165
29,"KX884315.1:5604-5785 Wenling crustacean virus 2 IRES_Cripavirus Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX884315.1:5604-5785 Wenling crustacean virus 2 IRES_Cripavirus Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,182
34,vir_ires_00491.1,vir_ires_00491.1,RF00458,Triatoma virus (TrV),,178
68,mouse_hsa_ires_00077.1 | chr5:64033802-64033992(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00077.1 | chr5:64033802-64033992(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr5:64033802-64033992-,191
69,"KX884293.1:7275-7471 Wuhan millipede virus 3 IRES_Cripavirus Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX884293.1:7275-7471 Wuhan millipede virus 3 IRES_Cripavirus Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,197
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.",RF00495,Homo sapiens (human),,220
