Num	IRES	RFAM	Organism	Location	Length
1	AF009606.1:2-354 Hepatitis C virus H77 Isolate Unknown-AF009606 IRES_HCV Hepatitis C virus subtype 1a polyprotein gene, complete cds.	RF00061	Hepatitis C virus		353
2	AF308157.1:595-1057 Foot-and-mouth disease virus - type O  IRES_Picorna_2 Foot-and-mouth disease virus, complete genome.	RF00210	Foot-and-mouth disease virus - type O 		463
3	CM000685.2:38479154-38479285 Homo sapiens IRES_Bag1 Homo sapiens chromosome X, GRCh38 reference primary assembly.	RF00222	Homo sapiens (human)		132
4	CM000666.2:164188235-164188416 Homo sapiens IRES_Bip Homo sapiens chromosome 4, GRCh38 reference primary assembly.	RF00223	Homo sapiens (human)		182
5	hsa_ires_00644.1|Homo sapiens (human)|chr4:122,826,845-122,827,009+	RF00224	Homo sapiens (human)	chr4:122,826,845-122,827,009+	165
6	hsa_ires_00586.1|Homo sapiens (human)|chr2:15,941,965-15,942,064+	RF00226	Homo sapiens (human)	chr2:15,941,965-15,942,064+	100
7	M14707.1:166-737 Hepatovirus A UNKNOWN-M14707 IRES_HepA Hepatitis A virus (wild-type) RNA, complete genome.	RF00228	Hepatitis A virus (wild-type)		572
8	PV_type1_Mahoney|Human poliovirus 1	RF00229	Human poliovirus 1		312
9	hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-	RF00261	Homo sapiens (human)	chr1:39,901,435-39,902,015-	217
10	CM000667.2:142697800-142697634 Homo sapiens IRES_FGF1 Homo sapiens chromosome 5, GRCh38 reference primary assembly.	RF00387	Homo sapiens (human)		167
11	mouse_CM000673.2:30012935-30012676 | chr2:107125011-107125270(+) | RF00447 | IRES_Kv1_4 | potassium-channel Kv1.4 IRES	RF00447	Mus musculus (mouse)	chr2:107125011-107125270+	260
12	DQ279927.1:55269-55485 Epstein-Barr virus (strain AG876) IRES_EBNA Human herpesvirus 4 strain AG876, complete genome.	RF00448	Epstein-Barr virus (strain AG876)		217
13	HIF1a|Mus musculus	RF00449	Mus musculus (mouse)		257
