Cluster Num,Representative,Member,RFAM family,Organism,Location,Length
1,"CM000664.2:10445264-10445145 Homo sapiens ODC_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.","CM000664.2:10445264-10445145 Homo sapiens ODC_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.",RF02535,Homo sapiens (human),,120
2,"CM000663.2:38708708-38708962 Homo sapiens IRES_Bip Homo sapiens chromosome 1, GRCh38 reference primary assembly.","CM000663.2:38708708-38708962 Homo sapiens IRES_Bip Homo sapiens chromosome 1, GRCh38 reference primary assembly.",RF00223,Homo sapiens (human),,255
3,LEF1|Homo sapiens,LEF1|Homo sapiens,,Homo sapiens (human),,1167
3,LEF1|Homo sapiens,"hsa_ires_00607.1|Homo sapiens (human)|chr4:108,167,768-108,168,944-",,Homo sapiens (human),"chr4:108,167,768-108,168,944-",1177
4,"hsa_ires_00016.1|Homo sapiens (human)|chr16:1,309,153-1,314,074+","hsa_ires_00016.1|Homo sapiens (human)|chr16:1,309,153-1,314,074+",,Homo sapiens (human),"chr16:1,309,153-1,314,074+",174
5,"hsa_ires_00048.1|Homo sapiens (human)|chrX:129,906,121-129,907,424+","hsa_ires_00048.1|Homo sapiens (human)|chrX:129,906,121-129,907,424+",,Homo sapiens (human),"chrX:129,906,121-129,907,424+",174
6,"hsa_ires_00080.1|Homo sapiens (human)|chrX:154,305,164-154,305,337+","hsa_ires_00080.1|Homo sapiens (human)|chrX:154,305,164-154,305,337+",,Homo sapiens (human),"chrX:154,305,164-154,305,337+",174
7,"hsa_ires_00112.1|Homo sapiens (human)|chr1:28,887,091-28,987,484+","hsa_ires_00112.1|Homo sapiens (human)|chr1:28,887,091-28,987,484+",,Homo sapiens (human),"chr1:28,887,091-28,987,484+",174
8,"hsa_ires_00144.1|Homo sapiens (human)|chr3:98,469,577-98,469,750+","hsa_ires_00144.1|Homo sapiens (human)|chr3:98,469,577-98,469,750+",,Homo sapiens (human),"chr3:98,469,577-98,469,750+",174
9,"hsa_ires_00176.1|Homo sapiens (human)|chr6:155,090,323-155,129,223+","hsa_ires_00176.1|Homo sapiens (human)|chr6:155,090,323-155,129,223+",,Homo sapiens (human),"chr6:155,090,323-155,129,223+",174
