Cluster Num	Member	RFAM family	Organism	Location	Length
2	"CM000663.2:38708708-38708962 Homo sapiens IRES_Bip Homo sapiens chromosome 1, GRCh38 reference primary assembly."	RF00223	Homo sapiens (human)		255
4	"hsa_ires_00016.1|Homo sapiens (human)|chr16:1,309,153-1,314,074+"		Homo sapiens (human)	"chr16:1,309,153-1,314,074+"	174
15	"hsa_ires_00368.1|Homo sapiens (human)|chr3:52,495,340-52,501,187+"		Homo sapiens (human)	"chr3:52,495,340-52,501,187+"	174
21	"hsa_ires_00560.1|Homo sapiens (human)|chr1:177,171,635-177,229,876+"		Homo sapiens (human)	"chr1:177,171,635-177,229,876+"	174
22	"hsa_ires_00592.1|Homo sapiens (human)|chr12:12,717,368-12,717,839+"		Homo sapiens (human)	"chr12:12,717,368-12,717,839+"	472
47	"hsa_ires_00049.1|Homo sapiens (human)|chr1:204,073,539-204,112,915+"		Homo sapiens (human)	"chr1:204,073,539-204,112,915+"	174
63	"hsa_ires_00561.1|Homo sapiens (human)|chr3:157,495,350-157,503,487-"		Homo sapiens (human)	"chr3:157,495,350-157,503,487-"	174
64	hsa_ires_00625.1|Homo sapiens (human)|NA		Homo sapiens (human)	Homo sapiens human	90
88	MNT_75-267|Homo sapiens	RF00457	Homo sapiens (human)		193
88	MNT_75-267|Homo sapiens	RF00457	Homo sapiens (human)		193
88	"CM000679.2:2400912-2400710 Homo sapiens IRES_mnt Homo sapiens chromosome 17, GRCh38 reference primary assembly."	RF00457	Homo sapiens (human)		203
105	"hsa_ires_00562.1|Homo sapiens (human)|chr17:39,917,317-39,917,490-"		Homo sapiens (human)	"chr17:39,917,317-39,917,490-"	174
134	"hsa_ires_00179.1|Homo sapiens (human)|chr22:38,110,496-38,110,669-"		Homo sapiens (human)	"chr22:38,110,496-38,110,669-"	174
170	"hsa_ires_00052.1|Homo sapiens (human)|chr6:139,288,891-139,292,071-"		Homo sapiens (human)	"chr6:139,288,891-139,292,071-"	174
177	"hsa_ires_00276.1|Homo sapiens (human)|chr4:80,335,720-80,362,767+"		Homo sapiens (human)	"chr4:80,335,720-80,362,767+"	174
209	"CM000671.2:84670396-84670748 Homo sapiens IRES_TrkB Homo sapiens chromosome 9, GRCh38 reference primary assembly."		Homo sapiens (human)		353
219	"hsa_ires_00277.1|Homo sapiens (human)|chr3:52,149,977-52,154,361-"		Homo sapiens (human)	"chr3:52,149,977-52,154,361-"	174
221	"hsa_ires_00341.1|Homo sapiens (human)|chr2:15,558,622-15,561,348-"		Homo sapiens (human)	"chr2:15,558,622-15,561,348-"	174
222	"hsa_ires_00373.1|Homo sapiens (human)|chr6:30,571,393-30,577,414+"		Homo sapiens (human)	"chr6:30,571,393-30,577,414+"	174
224	"hsa_ires_00437.1|Homo sapiens (human)|chr1:155,679,501-155,679,674-"		Homo sapiens (human)	"chr1:155,679,501-155,679,674-"	174
229	"hsa_ires_00597.1|Homo sapiens (human)|chr9:125,241,127-125,241,220-"	RF00223	Homo sapiens (human)	"chr9:125,241,127-125,241,220-"	94
254	"CM000673.2:30012935-30012676 Homo sapiens IRES_Kv1_4 Homo sapiens chromosome 11, GRCh38 reference primary assembly."		Homo sapiens (human)		260
260	"hsa_ires_00118.1|Homo sapiens (human)|chr6:30,112,742-30,113,090-"		Homo sapiens (human)	"chr6:30,112,742-30,113,090-"	174
275	"hsa_ires_00598.1|Homo sapiens (human)|chr8:127,736,244-127,736,610+"	RF00216	Homo sapiens (human)	"chr8:127,736,244-127,736,610+"	367
275	c-myc|Homo sapiens	RF00216	Homo sapiens (human)		393
313	"hsa_ires_00439.1|Homo sapiens (human)|chr3:53,347,454-53,347,627-"		Homo sapiens (human)	"chr3:53,347,454-53,347,627-"	174
314	"hsa_ires_00471.1|Homo sapiens (human)|chr5:136,152,754-136,153,760+"		Homo sapiens (human)	"chr5:136,152,754-136,153,760+"	174
318	"hsa_ires_00599.1|Homo sapiens (human)|chr12:48,716,676-48,716,990-"		Homo sapiens (human)	"chr12:48,716,676-48,716,990-"	315
342	p27kip1|Homo sapiens		Homo sapiens (human)		152
353	"hsa_ires_00344.1|Homo sapiens (human)|chr2:10,369,154-10,419,757+"		Homo sapiens (human)	"chr2:10,369,154-10,419,757+"	174
354	"hsa_ires_00376.1|Homo sapiens (human)|chr10:114,163,269-114,174,127-"		Homo sapiens (human)	"chr10:114,163,269-114,174,127-"	174
368	"CM000685.2:71223206-71223356 Homo sapiens IRES_Cx32 Homo sapiens chromosome X, GRCh38 reference primary assembly."	RF00484	Homo sapiens (human)		151
409	"hsa_ires_00665.1|Homo sapiens (human)|chr20:49,154,034-49,188,370-"		Homo sapiens (human)	"chr20:49,154,034-49,188,370-"	368
409	"hsa_ires_00668.1|Homo sapiens (human)|chr20:49,166,165-49,188,370-"		Homo sapiens (human)	"chr20:49,166,165-49,188,370-"	451
433	PDGF2/c-sis|Homo sapiens		Homo sapiens (human)		1022
454	"hsa_ires_00666.1|Homo sapiens (human)|chr20:49,154,034-49,188,370-"		Homo sapiens (human)	"chr20:49,154,034-49,188,370-"	293
454	"hsa_ires_00667.1|Homo sapiens (human)|chr20:49,166,202-49,188,370-"		Homo sapiens (human)	"chr20:49,166,202-49,188,370-"	339
480	"hsa_ires_00059.1|Homo sapiens (human)|chr12:51,008,605-51,009,270-"		Homo sapiens (human)	"chr12:51,008,605-51,009,270-"	174
488	"hsa_ires_00315.1|Homo sapiens (human)|chr9:122,093,419-122,093,592-"		Homo sapiens (human)	"chr9:122,093,419-122,093,592-"	174
489	"hsa_ires_00347.1|Homo sapiens (human)|chr3:64,023,836-64,024,009-"		Homo sapiens (human)	"chr3:64,023,836-64,024,009-"	174
524	"hsa_ires_00188.1|Homo sapiens (human)|chr20:57,524,206-57,524,379-"		Homo sapiens (human)	"chr20:57,524,206-57,524,379-"	174
526	"hsa_ires_00252.1|Homo sapiens (human)|chr1:165,419,943-165,424,852-"		Homo sapiens (human)	"chr1:165,419,943-165,424,852-"	174
560	"CM000684.2:39244768-39244141 Homo sapiens IRES_c-sis Homo sapiens chromosome 22, GRCh38 reference primary assembly."		Homo sapiens (human)		628
565	"hsa_ires_00125.1|Homo sapiens (human)|chr16:69,626,446-69,647,056+"		Homo sapiens (human)	"chr16:69,626,446-69,647,056+"	174
571	"hsa_ires_00317.1|Homo sapiens (human)|chr5:143,400,585-143,400,758-"		Homo sapiens (human)	"chr5:143,400,585-143,400,758-"	174
574	"hsa_ires_00413.1|Homo sapiens (human)|chr22:38,782,732-38,794,102-"		Homo sapiens (human)	"chr22:38,782,732-38,794,102-"	174
577	"hsa_ires_00509.1|Homo sapiens (human)|chr6:30,061,351-30,061,524+"		Homo sapiens (human)	"chr6:30,061,351-30,061,524+"	174
580	"hsa_ires_00605.1|Homo sapiens (human)|chr20:56,388,198-56,392,295-"		Homo sapiens (human)	"chr20:56,388,198-56,392,295-"	133
580	"hsa_ires_00614.1|Homo sapiens (human)|chr20:56,388,198-56,392,295-"		Homo sapiens (human)	"chr20:56,388,198-56,392,295-"	147
582	"hsa_ires_00669.1|Homo sapiens (human)|chr20:49,166,202-49,188,370-"		Homo sapiens (human)	"chr20:49,166,202-49,188,370-"	537
604	BiP_-222_-3|Homo sapiens	RF00223	Homo sapiens (human)		222
604	"CM000671.2:125241341-125241094 Homo sapiens IRES_Bip Homo sapiens chromosome 9, GRCh38 reference primary assembly."		Homo sapiens (human)		248
615	"hsa_ires_00350.1|Homo sapiens (human)|chr6:106,512,168-106,512,341+"		Homo sapiens (human)	"chr6:106,512,168-106,512,341+"	174
620	"hsa_ires_00510.1|Homo sapiens (human)|chr5:142,613,988-142,614,161-"		Homo sapiens (human)	"chr5:142,613,988-142,614,161-"	174
623	"hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-"	RF00261	Homo sapiens (human)	"chr1:39,901,435-39,902,015-"	217
