accession,bits_score,start,end,description,species,tax_id
FR853100.2,162.6,128396685,128396826,"Gorilla gorilla gorilla genomic chromosome, chr7, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM000669.2,162.1,129028750,129028891,"Homo sapiens chromosome 7, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM001659.1,159.3,80124306,80124447,"Nomascus leucogenys chromosome 13, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
KZ196472.1,159.2,9850290,9850431,"KZ196472.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold114.200, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
CM000321.4,158.6,133548371,133548512,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 7, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM009952.1,156,153408457,153408598,"CM009952.1 Theropithecus gelada isolate Dixy chromosome 3, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM014338.1,156,155278983,155279124,"CM014338.1 Macaca mulatta isolate AG07107 chromosome 3, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM018183.2,156,29567695,29567554,"CM018183.2 Papio anubis isolate 15944 chromosome 4, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
CM021941.1,156,156345902,156346043,"CM021941.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 3, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
KQ008339.1,156,15757152,15757011,"KQ008339.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold46, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
KQ011029.1,156,27415996,27416137,"KQ011029.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold25, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
MCGX01009567.1,155.5,460718,460577,"MCGX01009567.1 Rhinopithecus bieti isolate Rb0 scaffold_26131, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
CM019247.1,154.8,118162034,118162175,"CM019247.1 Piliocolobus tephrosceles isolate RC106 chromosome 8, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
CM009269.2,152.3,114932955,114933096,"CM009269.2 Pongo abelii isolate Susie chromosome 7, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM003390.1,152.1,133505729,133505869,"CM003390.1 Pan paniscus isolate Ulindi chromosome 7, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
CM021951.1,151.8,44849136,44849010,"CM021951.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 13, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
KN297983.1,149.9,1998057,1998198,"KN297983.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG038845, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
KN977250.1,149.8,6114373,6114232,"KN977250.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold5, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
JH378107.1,149.2,7126731,7126590,"JH378107.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00003, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
CM001962.2,148.1,97628667,97628807,"Chlorocebus sabaeus isolate 1994-021 chromosome 21, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
CM019254.1,147.6,63789099,63789225,"CM019254.1 Piliocolobus tephrosceles isolate RC106 chromosome 15, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
CM009963.1,145.6,83881509,83881635,"CM009963.1 Theropithecus gelada isolate Dixy chromosome 13, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM014348.1,145.6,45525359,45525233,"CM014348.1 Macaca mulatta isolate AG07107 chromosome 13, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM018193.1,145.6,63648753,63648879,"CM018193.1 Papio anubis isolate 15944 chromosome 14, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
KN975278.1,145.6,891576,891450,"KN975278.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold307, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
KQ006730.1,145.6,31697266,31697392,"KQ006730.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold3, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
KQ012397.1,145.6,10215547,10215673,"KQ012397.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold46, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM001955.2,144.8,43753778,43753652,"Chlorocebus sabaeus isolate 1994-021 chromosome 14, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
KN296900.1,144.7,553310,553184,"KN296900.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG030077, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
MCGX01018206.1,144.7,55716,55842,"MCGX01018206.1 Rhinopithecus bieti isolate Rb0 scaffold_53653, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
KN979441.1,143.7,6843703,6843577,"KN979441.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold105, whole genome shotgun sequence",Colobus angolensis palliatus,336983
CM021922.1,142,115440984,115440845,"CM021922.1 Callithrix jacchus isolate mCalJac1 chromosome 8, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
NW_022436947.1,140.7,12578402,12578261,"NW_022436947.1 Sapajus apella isolate SASKATOON/1434 unplaced genomic scaffold, GSC_monkey_1.0 scaffold7, whole genome shotgun sequence",Cebus apella (Tufted capuchin),9515
