accession,bits_score,start,end,description,species,tax_id
CM000331.3,254.2,2445394,2445192,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 17, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM000679.2,254.2,2400912,2400710,"Homo sapiens chromosome 17, GRCh38 reference primary assembly.",Homo sapiens (human),9606
FR853088.3,254.2,2290924,2290722,"Gorilla gorilla gorilla genomic chromosome, chr17, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM007676.1,253.6,48076830,48076628,"CM007676.1 Microcebus murinus isolate mixed chromosome 16, whole genome shotgun sequence",Microcebus murinus (gray mouse lemur),30608
KQ023836.1,253.6,1207643,1207441,"KQ023836.1 Propithecus coquereli isolate 6110/MARCELLA unplaced genomic scaffold Scaffold409, whole genome shotgun sequence",Propithecus coquereli (Coquerel's sifaka),379532
CM001957.1,251.1,2032699,2032497,"Chlorocebus sabaeus isolate 1994-021 chromosome 16, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
CM009966.1,251.1,58810565,58810363,"CM009966.1 Theropithecus gelada isolate Dixy chromosome 16, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM014351.1,251.1,2263832,2263630,"CM014351.1 Macaca mulatta isolate AG07107 chromosome 16, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM019255.1,251.1,2227054,2226852,"CM019255.1 Piliocolobus tephrosceles isolate RC106 chromosome 16, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
KQ004719.1,251.1,2548135,2547933,"KQ004719.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold11, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
KQ009613.1,251.1,13570814,13571016,"KQ009613.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold11, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CAAGRJ010020878.1,251,409191,408989,"CAAGRJ010020878.1 Lynx pardinus genome assembly, contig: lp23s05290, whole genome shotgun sequence",Lynx pardinus (Spanish lynx),191816
CM001391.3,251,14523138,14523340,"Felis catus isolate Cinnamon breed Abyssinian chromosome E1, whole genome shotgun sequence.",Felis catus (domestic cat),9685
CM017342.2,251,14037165,14037367,"CM017342.2 Lynx canadensis isolate LIC74 chromosome E1, whole genome shotgun sequence",Lynx canadensis (Canada lynx),61383
CM018474.1,251,35934100,35934302,"CM018474.1 Panthera leo isolate Brooke chromosome E2, whole genome shotgun sequence",Panthera leo (lion),9689
NW_020337979.1,251,1464895,1465097,"NW_020337979.1 Puma concolor isolate SC36_Marlon unplaced genomic scaffold, PumCon1.0 scaffold_1052, whole genome shotgun sequence",Puma concolor (puma),9696
NW_020834766.1,251,24838757,24838555,"NW_020834766.1 Acinonyx jubatus isolate Rico unplaced genomic scaffold, Aci_jub_2 Primary Assembly Aci_jub_2_ph1_scaffold40, whole genome shotgun sequence",Acinonyx jubatus (cheetah),32536
CM018196.1,249.8,2137871,2137669,"CM018196.1 Papio anubis isolate 15944 chromosome 17, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
CM009279.2,249.7,2215375,2215173,"CM009279.2 Pongo abelii isolate Susie chromosome 17, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM001004.3,247.4,74721955,74722157,"CM001004.3 Mus musculus chromosome 11, GRCm39 reference primary assembly C57BL/6J",Mus musculus (house mouse),10090
