accession,bits_score,start,end,description,species,tax_id
CM001647.1,152.1,67359618,67359491,"Nomascus leucogenys chromosome 22a, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM000316.3,151.9,67576380,67576253,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 2B, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM000664.2,151,177264659,177264532,"Homo sapiens chromosome 2, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM021920.1,148.9,48921843,48921970,"CM021920.1 Callithrix jacchus isolate mCalJac1 chromosome 6, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
NW_022436968.1,148.5,17547758,17547885,"NW_022436968.1 Sapajus apella isolate SASKATOON/1434 unplaced genomic scaffold, GSC_monkey_1.0 scaffold28, whole genome shotgun sequence",Cebus apella (Tufted capuchin),9515
CM009264.2,148,63357419,63357292,"CM009264.2 Pongo abelii isolate Susie chromosome 2B, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
NW_020338243.1,145.1,166744439,166744312,"NW_020338243.1 Puma concolor isolate SC36_Marlon unplaced genomic scaffold, PumCon1.0 scaffold_1290, whole genome shotgun sequence",Puma concolor (puma),9696
KZ207958.1,144.9,484470,484597,"KZ207958.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold87.28, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
CM001385.3,143.9,167996851,167996724,"Felis catus isolate Cinnamon breed Abyssinian chromosome C1, whole genome shotgun sequence.",Felis catus (domestic cat),9685
CM017336.1,143.9,164935365,164935238,"CM017336.1 Lynx canadensis isolate LIC74 chromosome C1, whole genome shotgun sequence",Lynx canadensis (Canada lynx),61383
CM018468.1,143.9,55852577,55852704,"CM018468.1 Panthera leo isolate Brooke chromosome C2, whole genome shotgun sequence",Panthera leo (lion),9689
JH378109.1,143.9,8692543,8692671,"JH378109.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00005, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
JACASF010000011.1,143.7,72387606,72387733,"JACASF010000011.1 Molossus molossus isolate mMolMol1 scaffold_m16_p_11, whole genome shotgun sequence",Molossus molossus (Pallas's mastiff bat),27622
CM021950.1,142.9,64777276,64777149,"CM021950.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 12, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
NW_020834737.1,142.8,55397371,55397498,"NW_020834737.1 Acinonyx jubatus isolate Rico unplaced genomic scaffold, Aci_jub_2 Primary Assembly Aci_jub_2_ph1_scaffold11, whole genome shotgun sequence",Acinonyx jubatus (cheetah),32536
CM014347.1,142.5,64361224,64361097,"CM014347.1 Macaca mulatta isolate AG07107 chromosome 12, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
KQ009425.1,142.5,760673,760800,"KQ009425.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold93, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
KQ012552.1,142.5,8635910,8635783,"KQ012552.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold6, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM018162.1,141.6,56682894,56683021,"CM018162.1 Phocoena sinus isolate mPhoSin1 chromosome 7, whole genome shotgun sequence",Phocoena sinus (vaquita),42100
KV389504.1,141.6,797829,797702,"KV389504.1 Cebus capucinus imitator isolate Cc_AM_T3 unplaced genomic scaffold Scaffold78, whole genome shotgun sequence",Cebus imitator (Panamanian white-faced capuchin),2715852
NC_041215.1,141.6,82364402,82364275,"NC_041215.1 Physeter catodon isolate SW-GA chromosome 2, ASM283717v5, whole genome shotgun sequence",Physeter catodon (sperm whale),9755
