fields,id,source
"{'id': ['RF00210'], 'description': ['Aphthovirus internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['92'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00210,rfam
"{'id': ['RF00448'], 'description': ['Epstein-Barr virus nuclear antigen (EBNA) IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['6'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00448,rfam
"{'id': ['RF00061'], 'description': ['Hepatitis C virus internal ribosome entry site'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['51'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': ['CL00017']}",RF00061,rfam
"{'id': ['M81861.1_374_830'], 'description': ['Encephalomyocarditis virus Ruckert IRES_Picorna_2'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['M81861.1'], 'rfamseq_acc_description': ['Encephalomyocarditis virus polyprotein, complete cds.'], 'scientific_name': ['Encephalomyocarditis virus Ruckert'], 'num_seed': [], 'seq_start': ['374'], 'seq_end': ['830'], 'ENA': ['M81861'], 'RFAM': ['RF00210']}",M81861.1_374_830,rfam
"{'id': ['AF009606.1_2_354'], 'description': ['Hepatitis C virus H77 Isolate Unknown-AF009606 IRES_HCV'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['AF009606.1'], 'rfamseq_acc_description': ['Hepatitis C virus subtype 1a polyprotein gene, complete cds.'], 'scientific_name': ['Hepatitis C virus H77 Isolate Unknown-AF009606'], 'num_seed': [], 'seq_start': ['2'], 'seq_end': ['354'], 'ENA': ['AF009606'], 'RFAM': ['RF00061']}",AF009606.1_2_354,rfam
"{'id': ['AF308157.1_595_1057'], 'description': ['Foot-and-mouth disease virus - type O  IRES_Picorna_2'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['AF308157.1'], 'rfamseq_acc_description': ['Foot-and-mouth disease virus, complete genome.'], 'scientific_name': ['Foot-and-mouth disease virus - type O'], 'num_seed': [], 'seq_start': ['595'], 'seq_end': ['1057'], 'ENA': ['AF308157'], 'RFAM': ['RF00210']}",AF308157.1_595_1057,rfam
"{'id': ['X96871.1_402_893'], 'description': ['Equine rhinitis B virus 1 P1436 /71 IRES_Picorna_2'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['X96871.1'], 'rfamseq_acc_description': ['Equine Rhinovirus type 2 genomic sequence'], 'scientific_name': ['Equine rhinitis B virus 1 P1436 /71'], 'num_seed': [], 'seq_start': ['402'], 'seq_end': ['893'], 'ENA': ['X96871'], 'RFAM': ['RF00210']}",X96871.1_402_893,rfam
"{'id': ['AF218039.1_6028_6223'], 'description': ['Cricket paralysis virus (isolate Teleogryllus commodus/Australia/CrPVVIC/1968) IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['AF218039.1'], 'rfamseq_acc_description': ['Cricket paralysis virus nonstructural polyprotein and structural polyprotein genes, complete cds.'], 'scientific_name': ['Cricket paralysis virus (isolate Teleogryllus commodus/Australia/CrPVVIC/1968)'], 'num_seed': [], 'seq_start': ['6028'], 'seq_end': ['6223'], 'ENA': ['AF218039'], 'RFAM': ['RF00458']}",AF218039.1_6028_6223,rfam
"{'id': ['U03387.1_5455_5605'], 'description': ['Turnip vein-clearing virus IRES_Tobamo'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['U03387.1'], 'rfamseq_acc_description': ['Turnip vein-clearing virus, complete genome.'], 'scientific_name': ['Turnip vein-clearing virus'], 'num_seed': [], 'seq_start': ['5455'], 'seq_end': ['5605'], 'ENA': ['U03387'], 'RFAM': ['RF00225']}",U03387.1_5455_5605,rfam
"{'id': ['KX883979.1_6097_6308'], 'description': ['Wenzhou shrimp virus 5 IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['KX883979.1'], 'rfamseq_acc_description': ['Wenzhou shrimp virus 5 strain shrimp14323 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.'], 'scientific_name': ['Wenzhou shrimp virus 5'], 'num_seed': [], 'seq_start': ['6097'], 'seq_end': ['6308'], 'ENA': ['KX883979'], 'RFAM': ['RF00458']}",KX883979.1_6097_6308,rfam
"{'id': ['KX884348.1_7089_7293'], 'description': ['Wenzhou shrimp virus 6 IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['KX884348.1'], 'rfamseq_acc_description': ['Wenzhou shrimp virus 6 strain WZRBX43423 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.'], 'scientific_name': ['Wenzhou shrimp virus 6'], 'num_seed': [], 'seq_start': ['7089'], 'seq_end': ['7293'], 'ENA': ['KX884348'], 'RFAM': ['RF00458']}",KX884348.1_7089_7293,rfam
"{'id': ['KX884282.1_5938_6130'], 'description': ['Wuhan arthropod virus 2 IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['KX884282.1'], 'rfamseq_acc_description': ['Wuhan arthropod virus 2 strain WHSF0 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.'], 'scientific_name': ['Wuhan arthropod virus 2'], 'num_seed': [], 'seq_start': ['5938'], 'seq_end': ['6130'], 'ENA': ['KX884282'], 'RFAM': ['RF00458']}",KX884282.1_5938_6130,rfam
"{'id': ['KX883971.1_5699_5893'], 'description': ['Hubei diptera virus 1 IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['KX883971.1'], 'rfamseq_acc_description': ['Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.'], 'scientific_name': ['Hubei diptera virus 1'], 'num_seed': [], 'seq_start': ['5699'], 'seq_end': ['5893'], 'ENA': ['KX883971'], 'RFAM': ['RF00458']}",KX883971.1_5699_5893,rfam
"{'id': ['KX884274.1_7022_7201'], 'description': ['Wuhan insect virus 33 IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['KX884274.1'], 'rfamseq_acc_description': ['Wuhan insect virus 33 strain WHCCII11871 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.'], 'scientific_name': ['Wuhan insect virus 33'], 'num_seed': [], 'seq_start': ['7022'], 'seq_end': ['7201'], 'ENA': ['KX884274'], 'RFAM': ['RF00458']}",KX884274.1_7022_7201,rfam
"{'id': ['KX884315.1_5604_5785'], 'description': ['Wenling crustacean virus 2 IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['KX884315.1'], 'rfamseq_acc_description': ['Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.'], 'scientific_name': ['Wenling crustacean virus 2'], 'num_seed': [], 'seq_start': ['5604'], 'seq_end': ['5785'], 'ENA': ['KX884315'], 'RFAM': ['RF00458']}",KX884315.1_5604_5785,rfam
"{'id': ['KX884293.1_7275_7471'], 'description': ['Wuhan millipede virus 3 IRES_Cripavirus'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['KX884293.1'], 'rfamseq_acc_description': ['Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.'], 'scientific_name': ['Wuhan millipede virus 3'], 'num_seed': [], 'seq_start': ['7275'], 'seq_end': ['7471'], 'ENA': ['KX884293'], 'RFAM': ['RF00458']}",KX884293.1_7275_7471,rfam
"{'id': ['DQ279927.1_55269_55485'], 'description': ['Epstein-Barr virus (strain AG876) IRES_EBNA'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['DQ279927.1'], 'rfamseq_acc_description': ['Human herpesvirus 4 strain AG876, complete genome.'], 'scientific_name': ['Epstein-Barr virus (strain AG876)'], 'num_seed': [], 'seq_start': ['55269'], 'seq_end': ['55485'], 'ENA': ['DQ279927'], 'RFAM': ['RF00448']}",DQ279927.1_55269_55485,rfam
"{'id': ['M31182.1_1_385'], 'description': ['Bovine viral diarrhea virus 1  IRES_Pesti'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['M31182.1'], 'rfamseq_acc_description': ['Bovine viral diarrhea virus 1-NADL, complete genome.'], 'scientific_name': ['Bovine viral diarrhea virus 1'], 'num_seed': [], 'seq_start': ['1'], 'seq_end': ['385'], 'ENA': ['M31182'], 'RFAM': ['RF00209']}",M31182.1_1_385,rfam
