accession,bits_score,start,end,description,species,tax_id
CM000671.2,389,84670396,84670748,"Homo sapiens chromosome 9, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM000323.3,381.5,62006833,62007185,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 9, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM009271.2,351.9,57704360,57704712,"CM009271.2 Pongo abelii isolate Susie chromosome 9, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
KN297868.1,349.5,1292469,1292117,"KN297868.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG037950, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
MCGX01017969.1,347,11348,11700,"MCGX01017969.1 Rhinopithecus bieti isolate Rb0 scaffold_51345, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
CM009965.1,345.1,98081279,98081631,"CM009965.1 Theropithecus gelada isolate Dixy chromosome 15, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM019253.1,344.9,98525483,98525835,"CM019253.1 Piliocolobus tephrosceles isolate RC106 chromosome 14, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
CM001953.2,344.3,95479466,95479818,"Chlorocebus sabaeus isolate 1994-021 chromosome 12, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
KN981005.1,344.2,3125355,3125003,"KN981005.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold246, whole genome shotgun sequence",Colobus angolensis palliatus,336983
CM001646.1,342.9,50000824,50000472,"Nomascus leucogenys chromosome 1a, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM018192.2,342.8,12876701,12876349,"CM018192.2 Papio anubis isolate 15944 chromosome 13, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
KN974562.1,341.4,318741,318389,"KN974562.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold242, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
KQ012774.1,338.7,37516925,37517277,"KQ012774.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold8, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM014350.1,328.8,99992526,99992882,"CM014350.1 Macaca mulatta isolate AG07107 chromosome 15, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM021953.1,328.8,97781268,97781624,"CM021953.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 15, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
KQ006137.1,326.5,15307417,15307773,"KQ006137.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold24, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
KZ202908.1,310.9,744460,744110,"KZ202908.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold354.12, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
CM003392.1,310.4,84022676,84022999,"CM003392.1 Pan paniscus isolate Ulindi chromosome 9, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
JH378246.1,291.4,850393,850743,"JH378246.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00142, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
