accession,bits_score,start,end,description,species,tax_id
CM001003.3,220.3,56253427,56253630,"CM001003.3 Mus musculus chromosome 10, GRCm39 reference primary assembly C57BL/6J",Mus musculus (house mouse),10090
QGOO02000022.1,218.6,1450079,1449876,"QGOO02000022.1 Mus spicilegus strain ZRU musp714_scaffold_00022b, whole genome shotgun sequence",Mus spicilegus (steppe mouse),10103
CM003388.1,213.4,110215786,110215588,"CM003388.1 Pan paniscus isolate Ulindi chromosome 5, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
QVIC01000009.1,212.8,930610,930811,"QVIC01000009.1 Urocitellus parryii isolate AGS 11-09-20 scaffold_8, whole genome shotgun sequence",Spermophilus parryii (Arctic ground squirrel),9999
CM009267.2,212,105926955,105926756,"CM009267.2 Pongo abelii isolate Susie chromosome 5, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM026993.1,211.8,35756028,35756232,"CM026993.1 Rattus norvegicus strain BN/NHsdMcwi chromosome 20, whole genome shotgun sequence",Rattus norvegicus (Norway rat),10116
CM000319.3,210.7,108518358,108518160,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 5, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM000667.2,210.4,109052656,109052458,"Homo sapiens chromosome 5, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CABDUW010000117.1,207.1,1759307,1759508,"CABDUW010000117.1 Marmota monax genome assembly, contig: monax5_s00117, whole genome shotgun sequence",Marmota monax (woodchuck),9995
FR853098.3,204.7,92113082,92112884,"Gorilla gorilla gorilla genomic chromosome, chr5, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
JH001202.1,201.1,405562,405361,"JH001202.1 Cricetulus griseus cell line CHO-K1 unplaced genomic scaffold scaffold1832, whole genome shotgun sequence",Cricetulus griseus (Chinese hamster),10029
CZRN02000159.1,200.7,4159274,4159073,"CZRN02000159.1 Marmota marmota marmota genome assembly, contig: chr19_part3, whole genome shotgun sequence",Marmota marmota marmota (Alpine marmot),9994
CM016634.2,200.2,44771587,44771789,"CM016634.2 Camelus dromedarius isolate Drom800 breed African chromosome 8, whole genome shotgun sequence",Camelus dromedarius (Arabian camel),9838
KB017462.1,200.2,566226,566428,"Camelus ferus unplaced genomic scaffold scaffold1251, whole genome shotgun sequence.",Camelus ferus (Wild Bactrian camel),419612
