accession,bits_score,start,end,description,species,tax_id
QGOO02000012.1,173.6,35791773,35791611,"QGOO02000012.1 Mus spicilegus strain ZRU musp714_scaffold_00012b, whole genome shotgun sequence",Mus spicilegus (steppe mouse),10103
CM000667.2,173.5,142697800,142697634,"Homo sapiens chromosome 5, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM001011.3,173.3,39062328,39062167,"CM001011.3 Mus musculus chromosome 18, GRCm39 reference primary assembly C57BL/6J",Mus musculus (house mouse),10090
CM001964.1,172.6,45328125,45327959,"Chlorocebus sabaeus isolate 1994-021 chromosome 23, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
KN980307.1,169.5,2339512,2339346,"KN980307.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold183, whole genome shotgun sequence",Colobus angolensis palliatus,336983
CM000319.3,169.1,142758529,142758363,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 5, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM003388.1,169.1,144161640,144161474,"CM003388.1 Pan paniscus isolate Ulindi chromosome 5, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
CM009955.1,169.1,138989717,138989551,"CM009955.1 Theropithecus gelada isolate Dixy chromosome 6, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM014341.1,169.1,140105956,140105790,"CM014341.1 Macaca mulatta isolate AG07107 chromosome 6, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM018184.2,169.1,135375880,135375714,"CM018184.2 Papio anubis isolate 15944 chromosome 5, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
FR853098.3,169.1,126286219,126286053,"Gorilla gorilla gorilla genomic chromosome, chr5, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
KQ007139.1,169.1,10860555,10860721,"KQ007139.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold34, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
KQ011219.1,169.1,22562249,22562083,"KQ011219.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold27, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM019243.1,168.9,148069769,148069935,"CM019243.1 Piliocolobus tephrosceles isolate RC106 chromosome 4, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
KN299104.1,168.9,5804316,5804150,"KN299104.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG045377, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
KN976688.1,168.9,2013073,2013239,"KN976688.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold443, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
MCGX01002766.1,168.9,2108317,2108151,"MCGX01002766.1 Rhinopithecus bieti isolate Rb0 scaffold_7438, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
CM021944.1,163.1,139937384,139937218,"CM021944.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 6, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
CM009267.2,162.5,139942620,139942454,"CM009267.2 Pongo abelii isolate Susie chromosome 5, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
CM001648.1,160.1,38550990,38551155,"Nomascus leucogenys chromosome 2, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
NW_022436941.1,154.2,1285381,1285215,"NW_022436941.1 Sapajus apella isolate SASKATOON/1434 unplaced genomic scaffold, GSC_monkey_1.0 scaffold1, whole genome shotgun sequence",Cebus apella (Tufted capuchin),9515
KV389502.1,153.8,2629897,2629731,"KV389502.1 Cebus capucinus imitator isolate Cc_AM_T3 unplaced genomic scaffold Scaffold76, whole genome shotgun sequence",Cebus imitator (Panamanian white-faced capuchin),2715852
CM021916.1,148.3,39184016,39183850,"CM021916.1 Callithrix jacchus isolate mCalJac1 chromosome 2, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
CM026991.1,146.2,30772478,30772314,"CM026991.1 Rattus norvegicus strain BN/NHsdMcwi chromosome 18, whole genome shotgun sequence",Rattus norvegicus (Norway rat),10116
JH378106.1,145.2,1973631,1973465,"JH378106.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00002, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
KZ205624.1,143.9,6796,6962,"KZ205624.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold606.197, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
KZ203792.1,129.8,12518225,12518388,"KZ203792.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold43, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
