accession,bits_score,start,end,description,species,tax_id
CM000668.2,321.7,43770953,43771261,"Homo sapiens chromosome 6, GRCh38 reference primary assembly.",Homo sapiens (human),9606
FR853099.2,319.1,44591872,44592180,"Gorilla gorilla gorilla genomic chromosome, chr6, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
CM000320.3,317.6,44281568,44281876,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 6, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM019244.1,309.9,125025391,125025083,"CM019244.1 Piliocolobus tephrosceles isolate RC106 chromosome 5, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
KN983836.1,309.9,13186712,13186404,"KN983836.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold51, whole genome shotgun sequence",Colobus angolensis palliatus,336983
CM009268.2,308.8,44104084,44104392,"CM009268.2 Pongo abelii isolate Susie chromosome 6, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
NW_017869957.1,306.3,1999388,1999080,"NW_017869957.1 Castor canadensis isolate Ward unplaced genomic scaffold, C.can genome v1.0 scaffold_630, whole genome shotgun sequence",Castor canadensis (American beaver),51338
CM001958.2,303.9,28393749,28393441,"Chlorocebus sabaeus isolate 1994-021 chromosome 17, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
NW_022436981.1,303.8,1829150,1829458,"NW_022436981.1 Sapajus apella isolate SASKATOON/1434 unplaced genomic scaffold, GSC_monkey_1.0 scaffold41, whole genome shotgun sequence",Cebus apella (Tufted capuchin),9515
KV389623.1,303.5,2497827,2498135,"KV389623.1 Cebus capucinus imitator isolate Cc_AM_T3 unplaced genomic scaffold Scaffold197, whole genome shotgun sequence",Cebus imitator (Panamanian white-faced capuchin),2715852
CM026982.1,303.4,14956023,14956328,"CM026982.1 Rattus norvegicus strain BN/NHsdMcwi chromosome 9, whole genome shotgun sequence",Rattus norvegicus (Norway rat),10116
CM004584.1,301.7,31556439,31556131,"CM004584.1 Capra hircus breed San Clemente chromosome 23, whole genome shotgun sequence",Capra hircus (goat),9925
CM009953.1,301.5,46146287,46146595,"CM009953.1 Theropithecus gelada isolate Dixy chromosome 4, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM014339.1,301.5,125558857,125558549,"CM014339.1 Macaca mulatta isolate AG07107 chromosome 4, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM018185.2,301.5,42197380,42197688,"CM018185.2 Papio anubis isolate 15944 chromosome 6, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
KQ005202.1,301.5,2433621,2433313,"KQ005202.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold154, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
KN296495.1,301.4,2340249,2340557,"KN296495.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG025978, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
MCGX01004015.1,301.4,3181669,3181361,"MCGX01004015.1 Rhinopithecus bieti isolate Rb0 scaffold_9981, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
CM016713.1,299.9,18154015,18153707,"CM016713.1 Bos grunniens isolate yakHY00 ecotype maiwa chromosome 24, whole genome shotgun sequence",Bos grunniens (domestic yak),30521
KL199863.1,299.8,2102853,2102548,"KL199863.1 Nannospalax galili isolate Female #2095 unplaced genomic scaffold scaffold653, whole genome shotgun sequence",Nannospalax galili (Upper Galilee mountains blind mole rat),1026970
PVHU020014971.1,298.7,18022858,18023166,"PVHU020014971.1 Moschus moschiferus isolate BS20 Scw3uUT_14873;HRSCAF=112728, whole genome shotgun sequence",Moschus moschiferus (Siberian musk deer),68415
LZPO01116605.1,298,589605,589300,"Neotoma lepida isolate 417 scaffold_104, whole genome shotgun sequence.",Neotoma lepida (desert woodrat),56216
CM001010.3,297.6,46342573,46342268,"CM001010.3 Mus musculus chromosome 17, GRCm39 reference primary assembly C57BL/6J",Mus musculus (house mouse),10090
QGOO02000011.1,297.6,48753839,48754144,"QGOO02000011.1 Mus spicilegus strain ZRU musp714_scaffold_00011b, whole genome shotgun sequence",Mus spicilegus (steppe mouse),10103
CM008190.2,297.3,17282668,17282976,"CM008190.2 Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 23, whole genome shotgun sequence",Bos taurus (cattle),9913
CM011796.1,297.3,34823388,34823080,"CM011796.1 Bos indicus x Bos taurus breed Angus x Brahman F1 hybrid chromosome 23, whole genome shotgun sequence",Bos indicus x Bos taurus (hybrid cattle),30522
KQ009502.1,296.4,18615936,18615628,"KQ009502.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold1, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM018498.1,295.9,17474735,17475043,"CM018498.1 Muntiacus reevesi isolate UCam_UCB_Mr chromosome 22, whole genome shotgun sequence",Muntiacus reevesi (Chinese muntjac),9886
KZ202947.1,294.8,3413720,3413412,"KZ202947.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold357, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
NW_018336704.1,294.6,14008,14316,"NW_018336704.1 Odocoileus virginianus texanus isolate animal Pink-7 unplaced genomic scaffold, Ovir.te_1.0 scaffold3475, whole genome shotgun sequence",Odocoileus virginianus texanus,9880
CM008014.1,293.3,23151955,23152263,"CM008014.1 Cervus elaphus hippelaphus isolate Hungarian chromosome 7, whole genome shotgun sequence",Cervus elaphus hippelaphus,46360
CM021198.1,293.3,16387705,16388013,"CM021198.1 Cervus hanglu yarkandensis isolate CEY-2017 chromosome 7, whole genome shotgun sequence",Cervus elaphus yarkandensis,84702
CM018166.1,292.9,72418926,72419234,"CM018166.1 Phocoena sinus isolate mPhoSin1 chromosome 11, whole genome shotgun sequence",Phocoena sinus (vaquita),42100
NC_047043.1,292.9,31099423,31099115,"NC_047043.1 Tursiops truncatus isolate mTurTru1 chromosome 10, mTurTru1.mat.Y, whole genome shotgun sequence",Tursiops truncatus (bottlenosed dolphin),9739
NW_006785876.1,292.9,5100091,5100399,"NW_006785876.1 Lipotes vexillifer unplaced genomic scaffold, Lipotes_vexillifer_v1 scaffold4, whole genome shotgun sequence",Lipotes vexillifer (Yangtze River dolphin),118797
NW_020175393.1,292.9,10141247,10141555,"NW_020175393.1 Neophocaena asiaeorientalis asiaeorientalis breed wild unplaced genomic scaffold, Neophocaena_asiaeorientalis_V1 scaffold46, whole genome shotgun sequence",Neophocaena asiaeorientalis asiaeorientalis (yangtze finless porpoise),1706337
NW_022098000.1,292.9,15019924,15020232,"NW_022098000.1 Delphinapterus leucas isolate GAN/ISIS: 26980492/103006 unplaced genomic scaffold, ASM228892v3 scaffoldscaffold9, whole genome shotgun sequence",Delphinapterus leucas (beluga whale),9749
QWLN02000112.1,292.9,13244829,13245137,"QWLN02000112.1 Sousa chinensis isolate MY-2018 scaffold18.1, whole genome shotgun sequence",Sousa chinensis (Indo-pacific humpbacked dolphin),103600
CM022837.1,290.6,2438943,2439251,"CM022837.1 Ailuropoda melanoleuca isolate Jingjing chromosome 19, whole genome shotgun sequence",Ailuropoda melanoleuca (giant panda),9646
CM022837.1,290.6,2441986,2442294,"CM022837.1 Ailuropoda melanoleuca isolate Jingjing chromosome 19, whole genome shotgun sequence",Ailuropoda melanoleuca (giant panda),9646
JAATJU010012460.1,290.5,4135642,4135337,"JAATJU010012460.1 Microtus ochrogaster isolate LTLLF scaffold149, whole genome shotgun sequence",Microtus ochrogaster (prairie vole),79684
CM009167.1,289.6,43591168,43591476,"CM009167.1 Equus caballus isolate Twilight breed thoroughbred chromosome 20, whole genome shotgun sequence",Equus caballus (horse),9796
CM027697.2,289.6,71594668,71594976,"CM027697.2 Equus asinus breed Dezhou chromosome 8, whole genome shotgun sequence",Equus asinus (ass),9793
NW_006501277.1,289.6,308894,309199,"NW_006501277.1 Peromyscus maniculatus bairdii unplaced genomic scaffold, Pman_1.0 Scaffold241, whole genome shotgun sequence",Peromyscus maniculatus bairdii (prairie deer mouse),230844
NC_058410.1,289.1,106519327,106519019,"NC_058410.1 Neomonachus schauinslandi chromosome 8, ASM220157v2, whole genome shotgun sequence",Monachus schauinslandi (Hawaiian monk seal),29088
NW_006389059.1,289.1,989,681,"NW_006389059.1 Leptonychotes weddellii isolate WS11-02 unplaced genomic scaffold, LepWed1.0 scaffold06019, whole genome shotgun sequence",Leptonychotes weddellii (Weddell seal),9713
JACDTQ010000017.1,289,8385147,8385455,"JACDTQ010000017.1 Diceros bicornis minor isolate SBR-YM ScS9zPn_17, whole genome shotgun sequence",Diceros bicornis minor,77932
CM021918.1,288.8,48365996,48366304,"CM021918.1 Callithrix jacchus isolate mCalJac1 chromosome 4, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
NC_045795.1,288.5,31769066,31768758,"NC_045795.1 Balaenoptera musculus isolate JJ_BM4_2016_0621 chromosome 11, mBalMus1.pri.v3, whole genome shotgun sequence",Balaenoptera musculus (Blue whale),9771
NTJE010869433.1,288.5,10,318,"NTJE010869433.1 Eschrichtius robustus isolate AM-GW-M-EMB-4M-20130531 contig_1074514, whole genome shotgun sequence",Eschrichtius robustus (grey whale),9764
LZNR01000539.1,287.8,19954,20262,"LZNR01000539.1 Ursus americanus isolate MABB319796 Contig539, whole genome shotgun sequence",Ursus americanus (American black bear),9643
NW_024425452.1,287.8,3201290,3201598,"NW_024425452.1 Ursus maritimus isolate PB19 unplaced genomic scaffold, ASM1731132v1 scaffold_29, whole genome shotgun sequence",Ursus maritimus (polar bear),29073
RWIC01000025.1,287.3,1681091,1681399,"RWIC01000025.1 Monodon monoceros isolate MVW Scaffold24, whole genome shotgun sequence",Monodon monoceros (narwhal),40151
NW_004801636.1,287.1,10056502,10056197,"NW_004801636.1 Mesocricetus auratus isolate Golden Hamster female 1 unplaced genomic scaffold, MesAur1.0 scaffold00033, whole genome shotgun sequence",Mesocricetus auratus (golden hamster),10036
CM000818.5,286,38746810,38747118,"CM000818.5 Sus scrofa isolate TJ Tabasco breed Duroc chromosome 7, whole genome shotgun sequence",Sus scrofa (pig),9823
