accession,bits_score,start,end,description,species,tax_id
CM000664.2,337.2,15941768,15942091,"Homo sapiens chromosome 2, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM000315.3,335.7,16251680,16252003,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 2A, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
CM003384.1,334.7,16059583,16059906,"CM003384.1 Pan paniscus isolate Ulindi chromosome 2A, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
FR853094.2,330.1,91509959,91509636,"Gorilla gorilla gorilla genomic chromosome, chr2A, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
KN973230.1,326.2,5308666,5308343,"KN973230.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold122, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
KQ012486.1,326.2,20502875,20502552,"KQ012486.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold54, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
CM009263.2,324.1,93198550,93198228,"CM009263.2 Pongo abelii isolate Susie chromosome 2A, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
KQ004940.1,322.4,1718147,1717824,"KQ004940.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold130, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
CZRN02000442.1,321.7,9958857,9959181,"CZRN02000442.1 Marmota marmota marmota genome assembly, contig: chrX_part4, whole genome shotgun sequence",Marmota marmota marmota (Alpine marmot),9994
KN299592.1,320.8,1685930,1686253,"KN299592.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG046832, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
MCGX01002358.1,320.8,1704502,1704825,"MCGX01002358.1 Rhinopithecus bieti isolate Rb0 scaffold_4781, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
CABDUW010000988.1,320.5,158119,158443,"CABDUW010000988.1 Marmota monax genome assembly, contig: monax5_s00988, whole genome shotgun sequence",Marmota monax (woodchuck),9995
CM001665.1,319.9,15641321,15641636,"Nomascus leucogenys chromosome 19, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM001955.2,319.5,91690600,91690277,"Chlorocebus sabaeus isolate 1994-021 chromosome 14, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
JH393289.1,319.4,9845153,9845477,"JH393289.1 Spermophilus tridecemlineatus unplaced genomic scaffold scaffold00011, whole genome shotgun sequence",Spermophilus tridecemlineatus (thirteen-lined ground squirrel),43179
CM018193.1,318.8,15679347,15679666,"CM018193.1 Papio anubis isolate 15944 chromosome 14, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
QVIC01000411.1,318.4,1791999,1791674,"QVIC01000411.1 Urocitellus parryii isolate AGS 11-09-20 scaffold_410, whole genome shotgun sequence",Spermophilus parryii (Arctic ground squirrel),9999
KN980552.1,316.9,4922618,4922941,"KN980552.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold205, whole genome shotgun sequence",Colobus angolensis palliatus,336983
JH378176.1,316.7,964463,964786,"JH378176.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00072, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
CM019254.1,316.3,15632943,15633258,"CM019254.1 Piliocolobus tephrosceles isolate RC106 chromosome 15, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
CM009963.1,316.3,36269015,36269337,"CM009963.1 Theropithecus gelada isolate Dixy chromosome 13, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
