accession,bits_score,start,end,description,species,tax_id
KX884282.1,158.9,5938,6130,"Wuhan arthropod virus 2 strain WHSF0 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wuhan arthropod virus 2,1923691
KX883972.1,128,5630,5823,"Hubei picorna-like virus 16 strain SCM51353 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei picorna-like virus 16,1923095
KX883381.1,127.9,6466,6659,"Beihai picorna-like virus 75 strain BHJP52955 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Beihai picorna-like virus 75,1922622
KX884274.1,124.2,7022,7201,"Wuhan insect virus 33 strain WHCCII11871 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wuhan insect virus 33,1923736
KX883971.1,122.5,5699,5893,"Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei diptera virus 1,1922870
KX884293.1,121.9,7275,7471,"Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wuhan millipede virus 3,1923742
KX883736.1,113.3,5584,5793,"Hubei picorna-like virus 24 strain WGML142000 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei picorna-like virus 24,1923104
KX883290.1,109.5,6822,7013,"Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei picorna-like virus 15,1923094
MW864599.1,105,4344,4540,"MW864599.1 Anisopteromalus calandrae positive-strand RNA virus 1, complete genome",Anisopteromalus calandrae positive-strand RNA virus 1,2848912
KX883654.1,87.4,5717,5927,"Shahe picorna-like virus 8 strain SHWC12398 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Shahe picorna-like virus 8,1923451
KX883372.1,60.4,6126,6317,"Beihai picorna-like virus 91 strain BHJJX25930 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Beihai picorna-like virus 91,1922638
KX884315.1,58.4,5604,5785,"Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wenling crustacean virus 2,1923485
KX883663.1,57.6,6128,6306,"Shahe picorna-like virus 11 strain SHWC13613 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Shahe picorna-like virus 11,1923441
KX883979.1,53.9,6097,6308,"Wenzhou shrimp virus 5 strain shrimp14323 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wenzhou shrimp virus 5,1923652
KX884348.1,53,7089,7293,"Wenzhou shrimp virus 6 strain WZRBX43423 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wenzhou shrimp virus 6,1923653
KX884554.1,51.3,5201,5348,"Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Changjiang picorna-like virus 11,1922784
KX883338.1,46.1,5405,5590,"Beihai picorna-like virus 79 strain BHBJDX18844 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Beihai picorna-like virus 79,1922626
KX884478.1,46.1,5388,5567,"Beihai picorna-like virus 80 strain BHZC36213 hypothetical protein 2 genes, complete cds.",Beihai picorna-like virus 80,1922628
KX883934.1,44.5,6306,6467,"Hubei picorna-like virus 14 strain QTM26191 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei picorna-like virus 14,1923093
